domainID,siteID,plotID,trapID,nlcdClass,decimalLatitude,decimalLongitude,elevation,MDS1,MDS2
D01,BART,BART_028,N,evergreenForest,44.054255,-71.306539,485.7,-2.061056998,-0.254445124
D01,BART,BART_028,S,evergreenForest,44.053895,-71.306525,485.7,-2.09172877,-0.330895092
D01,BART,BART_028,W,evergreenForest,44.05407,-71.306781,485.7,-1.941854631,-0.264271912
D01,BART,BART_028,E,evergreenForest,44.05408,-71.306282,485.7,-1.900210891,-0.353966404
D01,BART,BART_066,E,mixedForest,44.056769,-71.310152,502.6,-1.780273614,-0.438395455
D01,BART,BART_066,W,mixedForest,44.056759,-71.310651,502.6,-2.086787206,-0.518669382
D01,BART,BART_066,N,mixedForest,44.056944,-71.310409,502.6,-2.331021773,-0.327969835
D01,BART,BART_068,S,mixedForest,44.052249,-71.309465,553.4,-1.995897257,-0.42509207
D01,BART,BART_068,N,mixedForest,44.052609,-71.309479,553.4,-1.932344794,-0.359651713
D01,BART,BART_068,W,mixedForest,44.052424,-71.309722,553.4,-1.860202222,-0.21861029
D01,BART,BART_031,S,evergreenForest,44.055353,-71.305088,414,-2.026020056,-0.446147773
D01,BART,BART_031,E,evergreenForest,44.055538,-71.304845,414,-1.927918308,-0.267585637
D01,BART,BART_031,N,evergreenForest,44.055713,-71.305102,414,-1.987898964,-0.24772941
D01,BART,BART_018,W,mixedForest,44.058469,-71.278107,315.5,-1.910178724,-0.195129585
D01,BART,BART_018,E,mixedForest,44.058479,-71.277608,315.5,-2.388935471,-0.176867017
D01,BART,BART_018,N,mixedForest,44.058654,-71.277864,315.5,-1.883742573,-0.400489252
D01,BART,BART_002,E,deciduousForest,44.035086,-71.272601,550.8,-2.062644449,-0.276549058
D01,BART,BART_018,S,mixedForest,44.058294,-71.27785,315.5,-2.220575016,-0.562702391
D01,BART,BART_031,W,evergreenForest,44.055528,-71.305344,414,-1.92633475,-0.18707541
D01,HARV,HARV_001,E,deciduousForest,42.424264,-72.258046,191.5,-2.277290364,-0.56043506
D01,HARV,HARV_022,W,evergreenForest,42.434182,-72.19902,188.8,-2.192194871,-0.07799412
D01,HARV,HARV_022,N,evergreenForest,42.434356,-72.198769,188.8,-2.359658944,-0.713726585
D01,HARV,HARV_022,E,evergreenForest,42.434171,-72.198534,188.8,-1.911001991,-0.047234396
D01,HARV,HARV_021,S,evergreenForest,42.452269,-72.250501,213.7,-2.332713396,-0.566206946
