siteID,STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,SNWD,SNOW,TSUN,TMAX,TMIN,TOBS
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140907,0,,0,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140908,0,,0,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140909,18,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140910,224,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140911,292,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140913,46,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140915,8,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140917,0,,0,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140918,0,,0,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140919,0,,0,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140921,168,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140922,0,,0,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140923,0,,0,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140924,0,,0,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140927,0,,0,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140929,74,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140930,10,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20141001,5,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20141002,18,0,0,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20141003,178,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20141004,94,0,0,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20141005,28,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20141006,0,,0,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20141007,13,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20141008,0,,0,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20141013,0,,0,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20141015,211,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20141020,0,,0,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20141021,15,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20141022,0,,0,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20141024,33,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20141027,0,,0,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20141029,25,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20141030,5,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20141031,102,,165,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20141103,0,,0,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20141104,38,,,,,,
